symbol,timeframe,n_trades,trades_per_month,win_rate,net_expectancy_r,ci_low,ci_high,significant,total_net_r
gold,15m,238,103.496,0.36134453781512604,-0.06587102701864117,-0.22778401646106486,0.09604196242378252,False,-15.6773044304366
gold,1h_730d,755,26.26537142857143,0.3933774834437086,0.0411375746368853,-0.05183164093123186,0.13410679020500246,False,31.0588688508484
gold,1d,25,1.0453296703296704,0.4,0.13713852919099268,-0.39590971546687137,0.6701867738488567,False,3.428463229774817
usdjpy,1h_730d,939,27.99525954946131,0.3865814696485623,-0.01966520361279456,-0.10171616133541071,0.0623857541098216,False,-18.465626192414092
