symbol,timeframe,strategy,n_trades,win_rate,avg_r,expectancy_r,profit_factor,max_dd_r,total_r
gold,1d,trend_pullback,4,0.75,1.2500000000000016,1.2500000000000016,6.000000000000037,0.0,5.000000000000006
gold,1d,donchian_breakout,27,0.5555555555555556,0.6666666666666665,0.6666666666666665,2.5,2.9999999999999973,17.999999999999996
gold,1d,rsi_mean_reversion,2,0.5,0.0881791077207712,0.0881791077207712,1.1763582154415426,0.0,0.1763582154415424
gold,1d,bollinger_reversion,25,0.24,-0.3254434615717484,-0.3254434615717484,0.5499225303323452,10.136086539293707,-8.13608653929371
gold,1h,rsi_mean_reversion,5,0.8,1.5333387652780135,1.5333387652780135,170.0540528772892,0.045350547330297086,7.666693826390067
gold,1h,donchian_breakout,45,0.4888888888888889,0.3060765813774817,0.3060765813774817,1.6908032377855344,3.339277338867724,13.773446161986678
gold,1h,bollinger_reversion,57,0.40350877192982454,0.07466227128380903,0.07466227128380903,1.1287851208321027,4.277302365929284,4.255749463177115
gold,1h,trend_pullback,18,0.2777777777777778,-0.21554498098355251,-0.21554498098355251,0.6754254657955239,5.847130719933676,-3.8798096577039454
usdjpy,1d,trend_pullback,5,0.8,0.9286187345868198,0.9286187345868198,20.539834093643208,0.23762195987347745,4.643093672934099
usdjpy,1d,rsi_mean_reversion,3,0.6666666666666666,0.5941097370154874,0.5941097370154874,16.498882499874323,0.0,1.7823292110464621
usdjpy,1d,bollinger_reversion,22,0.36363636363636365,-0.008673265563619477,-0.008673265563619477,0.9843081740792736,7.428433802273103,-0.1908118423996285
usdjpy,1d,donchian_breakout,15,0.3333333333333333,-0.2496280953684826,-0.2496280953684826,0.6101639467463028,7.049954029843583,-3.744421430527239
usdjpy,1h,rsi_mean_reversion,3,0.3333333333333333,-1.3581728334581081e-14,-1.3581728334581081e-14,0.9999999999999797,0.999999999999973,-4.0745185003743245e-14
usdjpy,1h,trend_pullback,18,0.3888888888888889,-0.06067863404815172,-0.06067863404815172,0.8923410670282016,4.721138499903297,-1.092215412866731
usdjpy,1h,donchian_breakout,58,0.3448275862068966,-0.08993010972736235,-0.08993010972736235,0.8571165574432921,12.999999999999922,-5.215946364187016
usdjpy,1h,bollinger_reversion,68,0.3382352941176471,-0.17270244881773777,-0.17270244881773777,0.7233161448878539,19.137038272273855,-11.743766519606169
