symbol,timeframe,strategy,n_trades,trades_per_month,gross_expectancy_r,spread_cost_r,net_expectancy_r,survives_costs
gold,1d,donchian_breakout,27,1.128956043956044,0.6666666666666665,0.003638654471918203,0.6630280121947483,True
gold,5m,rsi_mean_reversion,38,16.524571428571427,0.37911542628832323,0.04436939053836092,0.3347460357499623,True
gold,1h,donchian_breakout,45,19.568571428571428,0.3060765813774817,0.012430176194722708,0.29364640518275903,True
gold,15m,trend_pullback,46,20.00342857142857,0.164792731986826,0.024734938837053917,0.1400577931497721,True
gold,15m,donchian_breakout,198,86.10171428571428,0.16017742634686669,0.024734938837053917,0.13544248750981278,True
gold,5m,trend_pullback,157,68.27257142857142,0.15448343575652862,0.04436939053836092,0.1101140452181677,True
gold,1h,bollinger_reversion,57,24.78685714285714,0.07466227128380903,0.012430176194722708,0.06223209508908632,True
gold,5m,donchian_breakout,631,274.3948571428571,0.03882791800809796,0.04436939053836092,-0.005541472530262957,False
usdjpy,15m,donchian_breakout,214,81.427,0.039372956827785584,0.04994834634482556,-0.010575389517039978,False
usdjpy,1d,bollinger_reversion,22,0.9173698630136987,-0.008673265563619477,0.002767860511131161,-0.011441126074750637,False
gold,5m,bollinger_reversion,639,277.8737142857143,0.0101901910022772,0.04436939053836092,-0.03417919953608372,False
usdjpy,15m,bollinger_reversion,261,99.3105,-0.015466167160868904,0.04994834634482556,-0.06541451350569447,False
usdjpy,1h,trend_pullback,18,6.764444444444445,-0.06067863404815172,0.02492951497587825,-0.08560814902402997,False
usdjpy,1h,donchian_breakout,58,21.796543209876543,-0.08993010972736235,0.02492951497587825,-0.1148596247032406,False
usdjpy,5m,donchian_breakout,624,237.432,-0.04499035747720761,0.08394362587345562,-0.12893398335066322,False
usdjpy,5m,bollinger_reversion,738,280.809,-0.07383245287260666,0.08394362587345562,-0.15777607874606228,False
gold,15m,bollinger_reversion,222,96.5382857142857,-0.13530146018433228,0.024734938837053917,-0.1600363990213862,False
usdjpy,1h,bollinger_reversion,68,25.554567901234567,-0.17270244881773777,0.02492951497587825,-0.19763196379361603,False
gold,1h,trend_pullback,18,7.827428571428571,-0.21554498098355251,0.012430176194722708,-0.2279751571782752,False
usdjpy,1d,donchian_breakout,15,0.6254794520547946,-0.2496280953684826,0.002767860511131161,-0.2523959558796138,False
usdjpy,15m,trend_pullback,70,26.635,-0.20706161138611734,0.04994834634482556,-0.25700995773094293,False
usdjpy,5m,trend_pullback,196,74.578,-0.17439584398626498,0.08394362587345562,-0.2583394698597206,False
usdjpy,5m,rsi_mean_reversion,33,12.5565,-0.22003800565747872,0.08394362587345562,-0.3039816315309343,False
gold,1d,bollinger_reversion,25,1.0453296703296704,-0.3254434615717484,0.003638654471918203,-0.3290821160436666,False
