scenario,risk_pct,months,p_profit,median_return,p5_return,p95_return,p_dd_over_10pct,p_dd_over_20pct,p_dd_over_30pct,median_max_dd,assumed_expectancy_r
measured_edge,0.005,3,0.617,0.016201648228292287,-0.06949023236975427,0.11125023583574634,0.0332,0.0,0.0,0.04737404112960392,
measured_edge,0.005,6,0.6574,0.030327875516358516,-0.0907295435975567,0.16885035942831417,0.168,0.0018,0.0,0.06662770067050067,
measured_edge,0.005,12,0.7173,0.06398612692256833,-0.10535661640679161,0.2683136501850296,0.402,0.015,0.0002,0.09020787719238044,
measured_edge,0.01,3,0.6024,0.027492379555730473,-0.13304129082122385,0.23101567886555419,0.4343,0.0258,0.0001,0.09333917291578109,
measured_edge,0.01,6,0.6424,0.058078580993548456,-0.1699667478726834,0.36277700748225583,0.7416,0.1372,0.0088,0.12921794670013026,
measured_edge,0.01,12,0.7071,0.12191883506726242,-0.20857625194628437,0.602514427797674,0.9472,0.3534,0.0689,0.17323109517707164,
measured_edge,0.02,3,0.5829,0.04610904505528235,-0.2564425796166171,0.4884356942889516,0.933,0.3914,0.0939,0.1788826787752129,
measured_edge,0.02,6,0.6161,0.09367146264829307,-0.33134517645676087,0.8012782805774288,0.9966,0.7143,0.3023,0.24619240593367114,
measured_edge,0.02,12,0.6645,0.20668058170598957,-0.3968141182562762,1.4622691992497479,1.0,0.9369,0.5935,0.3248118048287439,
,0.01,12,0.682,0.10665151751480062,-0.22067509616823577,0.574966983630518,0.9523,0.3759,0.0808,0.17777823397364023,0.05
,0.01,12,0.8629,0.2540849039430242,-0.10753460150369842,0.7845201705109368,0.8938,0.2087,0.0221,0.14816492052011615,0.1
,0.01,12,0.9901,0.6255176941297389,0.15213209873469968,1.3131636872199248,0.6299,0.0358,0.0013,0.11033063432867118,0.2
,0.01,12,0.9997,1.1103212486048806,0.4908617623621834,1.9940767861792272,0.298,0.0035,0.0,0.0858136340722988,0.3
