pattern,swing_k,tol_atr,n_trades,win_rate,net_expectancy_r,ci_low,ci_high,significant,total_net_r
double_top_bottom,3,0.3,121,0.38016528925619836,-0.04028440719173446,-0.26653822809380223,0.1859694137103333,False,-4.87441327019987
head_and_shoulders,3,0.3,21,0.6190476190476191,0.4422965725772768,-0.11578642066617567,1.0003795658207293,False,9.288228024122812
double_top_bottom,3,0.5,194,0.4175257731958763,0.10186289802477362,-0.08246109124377284,0.2861868872933201,False,19.761402216806083
head_and_shoulders,3,0.5,29,0.4827586206896552,0.1436499130391073,-0.3364301514934762,0.6237299775716908,False,4.165847478134111
double_top_bottom,3,0.8,274,0.4197080291970803,0.11921344652487897,-0.03835556865351655,0.2767824617032745,False,32.66448434781684
head_and_shoulders,3,0.8,39,0.41025641025641024,-0.06796583940839633,-0.44819942864439033,0.31226774982759764,False,-2.650667736927457
double_top_bottom,5,0.3,99,0.40404040404040403,0.04060470183789036,-0.21374113915596724,0.29495054283174793,False,4.019865481951146
head_and_shoulders,5,0.3,20,0.3,-0.24930015408419542,-0.7180227189545717,0.21942241078618085,False,-4.986003081683909
double_top_bottom,5,0.5,159,0.4088050314465409,0.06471315534668097,-0.14126519646123498,0.2706915071545969,False,10.289391700122273
head_and_shoulders,5,0.5,27,0.37037037037037035,0.006787513938745857,-0.4736203795025339,0.48719540738002565,False,0.18326287634613814
double_top_bottom,5,0.8,216,0.42592592592592593,0.13259270777169552,-0.04599339711387984,0.3111788126572709,False,28.64002487868623
head_and_shoulders,5,0.8,31,0.41935483870967744,0.05143048600966542,-0.3975178414151725,0.5003788134345033,False,1.594345066299628
double_top_bottom,8,0.3,57,0.40350877192982454,0.03190597569690225,-0.3159866605596196,0.37979861195342407,False,1.8186406147234282
head_and_shoulders,8,0.3,13,0.46153846153846156,0.10024684308806726,-0.6330088336853397,0.8335025198614743,False,1.3032089601448744
double_top_bottom,8,0.5,88,0.4090909090909091,0.036597551131264866,-0.24282027368547396,0.31601537594800366,False,3.2205844995513084
head_and_shoulders,8,0.5,19,0.5263157894736842,0.3920882264564597,-0.22359593677941458,1.007772389692334,False,7.449676302672734
double_top_bottom,8,0.8,136,0.38235294117647056,-0.012605949355290455,-0.23252798657599583,0.20731608786541494,False,-1.714409112319502
head_and_shoulders,8,0.8,17,0.5882352941176471,0.5640172989581931,-0.12002730806089701,1.2480619059772833,False,9.588294082289282
