window,n_trades,trades_per_month,win_rate,net_expectancy_r,ci_low,ci_high,significant,total_net_r
10,978,34.02322285714286,0.37321063394683024,-0.0037215026786022454,-0.08547389586135591,0.07803089050415142,False,-3.639629619672996
15,834,29.013668571428575,0.39448441247002397,0.06541035822550903,-0.023757386045476336,0.1545781024964944,False,54.55223876007453
20,755,26.26537142857143,0.3933774834437086,0.0411375746368853,-0.05183164093123186,0.13410679020500246,False,31.0588688508484
25,694,24.143268571428575,0.37752161383285304,-0.009014473198659575,-0.10426747610205689,0.08623852970473775,False,-6.2560443998697455
30,651,22.647360000000003,0.37480798771121354,-0.034830635951651034,-0.13264471880063033,0.06298344689732827,False,-22.674744004524825
50,527,18.333577142857145,0.3605313092979127,-0.0795812732966668,-0.1874886147220976,0.02832606812876401,False,-41.9393310273434
