symbol,timeframe,pattern,n_trades,win_rate,net_expectancy_r,ci_low,ci_high,significant,total_net_r
usdjpy,1h_730d,head_and_shoulders,36,0.4722222222222222,0.3486225212412742,-0.1274565023553415,0.8247015448378898,False,12.550410764685871
gold,15m,head_and_shoulders,4,0.5,0.16983935043603327,-1.2684581331054279,1.6081368339774946,False,0.6793574017441331
gold,1h_730d,double_top_bottom,159,0.4088050314465409,0.06471315534668097,-0.14126519646123498,0.2706915071545969,False,10.289391700122273
gold,1h_730d,head_and_shoulders,27,0.37037037037037035,0.006787513938745857,-0.4736203795025339,0.48719540738002565,False,0.18326287634613814
usdjpy,1h_730d,double_top_bottom,191,0.3612565445026178,-0.034711817865934205,-0.21802637271815212,0.14860273698628368,False,-6.629957212393434
gold,15m,double_top_bottom,59,0.3728813559322034,-0.08126704859305912,-0.4104799431166319,0.24794584593051366,False,-4.794755866990489
gold,1d,double_top_bottom,1,,,,,False,
gold,1d,head_and_shoulders,0,,,,,False,
