datetime,open,high,low,close,volume
2026-06-12 04:00:00+00:00,4219.0,4222.60009765625,4213.7001953125,4216.5,289.0
2026-06-12 04:15:00+00:00,4216.2998046875,4217.2001953125,4212.0,4214.5,270.0
2026-06-12 04:30:00+00:00,4214.5,4220.10009765625,4213.89990234375,4215.2001953125,354.0
2026-06-12 04:45:00+00:00,4215.5,4215.89990234375,4211.10009765625,4211.89990234375,256.0
2026-06-12 05:00:00+00:00,4211.7998046875,4214.39990234375,4203.60009765625,4210.5,684.0
2026-06-12 05:15:00+00:00,4209.89990234375,4211.10009765625,4206.2001953125,4208.89990234375,340.0
2026-06-12 05:30:00+00:00,4208.5,4209.60009765625,4194.0,4201.7998046875,1350.0
2026-06-12 05:45:00+00:00,4202.2001953125,4202.2001953125,4192.10009765625,4194.7001953125,894.0
2026-06-12 06:00:00+00:00,4194.7001953125,4207.0,4194.7001953125,4204.89990234375,1098.0
2026-06-12 06:15:00+00:00,4204.39990234375,4204.60009765625,4200.60009765625,4203.7998046875,540.0
2026-06-12 06:30:00+00:00,4204.0,4204.5,4193.7001953125,4198.10009765625,854.0
2026-06-12 06:45:00+00:00,4198.2001953125,4206.10009765625,4195.60009765625,4205.39990234375,840.0
2026-06-12 07:00:00+00:00,4205.5,4206.2998046875,4197.5,4199.39990234375,852.0
2026-06-12 07:15:00+00:00,4199.60009765625,4201.2001953125,4195.2998046875,4195.2998046875,884.0
2026-06-12 07:30:00+00:00,4195.2998046875,4205.7001953125,4191.10009765625,4204.2998046875,1731.0
2026-06-12 07:45:00+00:00,4204.7001953125,4215.2001953125,4195.2001953125,4215.2001953125,2240.0
2026-06-12 08:00:00+00:00,4215.89990234375,4226.39990234375,4213.2001953125,4224.89990234375,2219.0
2026-06-12 08:15:00+00:00,4225.7001953125,4242.0,4220.7998046875,4234.5,2504.0
2026-06-12 08:30:00+00:00,4235.0,4244.89990234375,4233.7001953125,4239.7998046875,1891.0
2026-06-12 08:45:00+00:00,4240.10009765625,4247.7001953125,4236.2998046875,4241.2001953125,1194.0
2026-06-12 09:00:00+00:00,4241.39990234375,4247.0,4239.10009765625,4245.7998046875,886.0
