datetime,open,high,low,close,volume
2026-06-01 23:00:00+00:00,159.66099548339844,159.66099548339844,159.6300048828125,159.65199279785156,0.0
2026-06-01 23:05:00+00:00,159.64700317382812,159.66000366210938,159.63699340820312,159.65499877929688,0.0
2026-06-01 23:10:00+00:00,159.65499877929688,159.6580047607422,159.63299560546875,159.64999389648438,0.0
2026-06-01 23:15:00+00:00,159.64300537109375,159.656005859375,159.63099670410156,159.63400268554688,0.0
2026-06-01 23:20:00+00:00,159.64300537109375,159.6540069580078,159.63400268554688,159.63800048828125,0.0
2026-06-01 23:25:00+00:00,159.64300537109375,159.6490020751953,159.63699340820312,159.64599609375,0.0
2026-06-01 23:30:00+00:00,159.64100646972656,159.64700317382812,159.6320037841797,159.64300537109375,0.0
2026-06-01 23:35:00+00:00,159.64300537109375,159.65699768066406,159.61099243164062,159.62600708007812,0.0
2026-06-01 23:40:00+00:00,159.62399291992188,159.63299560546875,159.61199951171875,159.6300048828125,0.0
2026-06-01 23:45:00+00:00,159.62600708007812,159.63600158691406,159.6179962158203,159.63299560546875,0.0
2026-06-01 23:50:00+00:00,159.62399291992188,159.656005859375,159.6219940185547,159.64300537109375,0.0
2026-06-01 23:55:00+00:00,159.64300537109375,159.65199279785156,159.6300048828125,159.63499450683594,0.0
2026-06-02 00:00:00+00:00,159.63499450683594,159.65899658203125,159.62899780273438,159.64599609375,0.0
2026-06-02 00:05:00+00:00,159.63600158691406,159.6739959716797,159.63299560546875,159.66700744628906,0.0
2026-06-02 00:10:00+00:00,159.66600036621094,159.67300415039062,159.6490020751953,159.66299438476562,0.0
2026-06-02 00:15:00+00:00,159.66400146484375,159.6750030517578,159.65899658203125,159.67100524902344,0.0
2026-06-02 00:20:00+00:00,159.66400146484375,159.6840057373047,159.65899658203125,159.6790008544922,0.0
2026-06-02 00:25:00+00:00,159.677001953125,159.68600463867188,159.6719970703125,159.6820068359375,0.0
2026-06-02 00:30:00+00:00,159.67599487304688,159.6929931640625,159.66000366210938,159.6750030517578,0.0
2026-06-02 00:35:00+00:00,159.6739959716797,159.697998046875,159.6699981689453,159.68800354003906,0.0
2026-06-02 00:40:00+00:00,159.69400024414062,159.71200561523438,159.6699981689453,159.697998046875,0.0
2026-06-02 00:45:00+00:00,159.69000244140625,159.7030029296875,159.677001953125,159.69200134277344,0.0
2026-06-02 00:50:00+00:00,159.6929931640625,159.7270050048828,159.69000244140625,159.71800231933594,0.0
2026-06-02 00:55:00+00:00,159.71800231933594,159.7239990234375,159.656005859375,159.66000366210938,0.0
