datetime,open,high,low,close,volume
2026-07-06 04:00:00+00:00,4177.0,4187.2998046875,4169.2001953125,4171.5,0.0
2026-07-06 05:00:00+00:00,4171.2001953125,4187.2998046875,4156.39990234375,4159.7001953125,3281.0
2026-07-06 06:00:00+00:00,4159.5,4187.2998046875,4156.7998046875,4161.89990234375,2731.0
2026-07-06 07:00:00+00:00,4162.0,4187.2998046875,4158.7001953125,4175.7001953125,3011.0
2026-07-06 08:00:00+00:00,4176.39990234375,4187.2998046875,4158.10009765625,4161.7998046875,2973.0
2026-07-06 09:00:00+00:00,4161.60009765625,4187.2998046875,4148.39990234375,4155.5,5049.0
2026-07-06 10:00:00+00:00,4155.5,4187.2998046875,4154.60009765625,4167.39990234375,2409.0
2026-07-06 11:00:00+00:00,4167.2998046875,4187.2998046875,4163.89990234375,4167.39990234375,1902.0
2026-07-06 12:00:00+00:00,4167.39990234375,4187.2998046875,4143.2998046875,4151.39990234375,6383.0
2026-07-06 13:00:00+00:00,4151.89990234375,4187.2998046875,4147.10009765625,4153.0,8151.0
2026-07-06 14:00:00+00:00,4152.5,4187.2998046875,4140.60009765625,4150.2001953125,8871.0
2026-07-06 15:00:00+00:00,4150.60009765625,4187.2998046875,4149.7998046875,4159.89990234375,5821.0
2026-07-06 16:00:00+00:00,4160.10009765625,4187.2998046875,4152.0,4166.89990234375,4509.0
2026-07-06 17:00:00+00:00,4166.89990234375,4187.2998046875,4162.10009765625,4172.89990234375,5115.0
2026-07-06 18:00:00+00:00,4173.2998046875,4187.2998046875,4167.10009765625,4175.7998046875,2874.0
2026-07-06 19:00:00+00:00,4175.7998046875,4187.2998046875,4170.5,4175.5,1924.0
2026-07-06 20:00:00+00:00,4175.39990234375,4187.2998046875,4172.60009765625,4187.2998046875,597.0
2026-07-06 22:00:00+00:00,4176.39990234375,4179.5,4174.60009765625,4175.89990234375,0.0
2026-07-06 23:00:00+00:00,4175.39990234375,4176.60009765625,4168.0,4168.7001953125,784.0
2026-07-07 00:00:00+00:00,4168.5,4174.5,4156.10009765625,4157.2001953125,2202.0
2026-07-07 01:00:00+00:00,4157.2998046875,4160.2001953125,4137.60009765625,4153.89990234375,5000.0
2026-07-07 02:00:00+00:00,4154.0,4157.0,4142.7998046875,4147.89990234375,2619.0
2026-07-07 03:00:00+00:00,4147.7998046875,4151.39990234375,4135.2001953125,4141.7998046875,2183.0
2026-07-07 04:00:00+00:00,4142.39990234375,4152.39990234375,4136.7998046875,4137.60009765625,1910.0
2026-07-07 05:00:00+00:00,4137.60009765625,4142.2001953125,4127.7001953125,4135.2001953125,3705.0
2026-07-07 06:00:00+00:00,4135.0,4144.39990234375,4132.5,4141.7001953125,2344.0
2026-07-07 07:00:00+00:00,4141.89990234375,4144.60009765625,4135.39990234375,4135.7998046875,2520.0
2026-07-07 08:00:00+00:00,4135.39990234375,4150.89990234375,4132.7001953125,4137.10009765625,4261.0
2026-07-07 09:00:00+00:00,4136.89990234375,4144.60009765625,4130.60009765625,4142.39990234375,3676.0
2026-07-07 10:00:00+00:00,4142.39990234375,4150.5,4142.39990234375,4147.10009765625,2012.0
2026-07-07 11:00:00+00:00,4147.10009765625,4170.0,4143.0,4168.60009765625,5278.0
2026-07-07 12:00:00+00:00,4168.60009765625,4187.0,4166.0,4184.10009765625,11524.0
2026-07-07 13:00:00+00:00,4184.10009765625,4192.39990234375,4167.2998046875,4170.0,12311.0
2026-07-07 14:00:00+00:00,4169.7001953125,4175.10009765625,4154.5,4165.0,10347.0
2026-07-07 15:00:00+00:00,4165.0,4166.7001953125,4146.89990234375,4150.10009765625,6189.0
2026-07-07 16:00:00+00:00,4150.39990234375,4158.7001953125,4148.2001953125,4156.60009765625,4083.0
2026-07-07 17:00:00+00:00,4156.7001953125,4159.7998046875,4151.7998046875,4155.89990234375,4102.0
2026-07-07 18:00:00+00:00,4156.0,4156.5,4136.10009765625,4138.0,4202.0
2026-07-07 19:00:00+00:00,4137.89990234375,4138.7001953125,4102.7001953125,4125.10009765625,13252.0
2026-07-07 20:00:00+00:00,4125.2998046875,4126.7001953125,4114.2001953125,4116.60009765625,2153.0
2026-07-07 22:00:00+00:00,4106.5,4116.89990234375,4104.0,4109.5,0.0
2026-07-07 23:00:00+00:00,4109.0,4118.89990234375,4106.2998046875,4108.7998046875,2983.0
2026-07-08 00:00:00+00:00,4108.5,4137.10009765625,4107.39990234375,4122.5,3627.0
2026-07-08 01:00:00+00:00,4122.7998046875,4129.0,4106.7998046875,4122.2998046875,5333.0
2026-07-08 02:00:00+00:00,4122.2001953125,4135.5,4116.5,4125.0,3123.0
2026-07-08 03:00:00+00:00,4125.5,4142.2998046875,4125.5,4133.7001953125,2790.0
2026-07-08 04:00:00+00:00,4134.2001953125,4139.39990234375,4131.39990234375,4135.89990234375,2420.0
2026-07-08 05:00:00+00:00,4135.89990234375,4144.60009765625,4131.2998046875,4138.5,2250.0
2026-07-08 06:00:00+00:00,4138.7998046875,4144.7001953125,4132.89990234375,4134.0,2615.0
2026-07-08 07:00:00+00:00,4134.39990234375,4139.0,4125.39990234375,4132.0,3794.0
2026-07-08 08:00:00+00:00,4132.0,4132.5,4062.199951171875,4066.800048828125,19280.0
2026-07-08 09:00:00+00:00,4066.60009765625,4071.300048828125,4051.60009765625,4053.10009765625,9608.0
2026-07-08 10:00:00+00:00,4053.5,4069.0,4050.0,4062.89990234375,5646.0
2026-07-08 11:00:00+00:00,4062.89990234375,4083.0,4051.5,4072.300048828125,8224.0
2026-07-08 12:00:00+00:00,4071.89990234375,4096.7998046875,4068.5,4082.89990234375,10640.0
2026-07-08 13:00:00+00:00,4082.5,4093.800048828125,4075.800048828125,4081.60009765625,12073.0
2026-07-08 14:00:00+00:00,4081.10009765625,4082.0,4044.0,4051.800048828125,19268.0
2026-07-08 15:00:00+00:00,4052.0,4054.300048828125,4032.5,4044.10009765625,11435.0
2026-07-08 16:00:00+00:00,4044.5,4075.0,4043.39990234375,4073.89990234375,9762.0
2026-07-08 17:00:00+00:00,4073.89990234375,4086.89990234375,4069.39990234375,4076.39990234375,12874.0
2026-07-08 18:00:00+00:00,4075.800048828125,4101.60009765625,4073.800048828125,4094.10009765625,5689.0
2026-07-08 19:00:00+00:00,4095.0,4101.39990234375,4088.5,4090.199951171875,4300.0
2026-07-08 20:00:00+00:00,4090.5,4093.5,4081.39990234375,4086.60009765625,2402.0
2026-07-08 22:00:00+00:00,4087.60009765625,4089.60009765625,4081.199951171875,4085.699951171875,0.0
2026-07-08 23:00:00+00:00,4086.300048828125,4087.5,4081.10009765625,4085.60009765625,1057.0
2026-07-09 00:00:00+00:00,4087.5,4099.10009765625,4079.199951171875,4082.800048828125,3289.0
2026-07-09 01:00:00+00:00,4083.199951171875,4088.199951171875,4071.39990234375,4081.800048828125,4259.0
